Mewing,Shushing Face,Deaf Person | 🤫🧏
Peace Out,Bye,Leave,Goodbye | 🤞😗
Drama,Popcorn,Beef | 🍿🤏😮
Where my hug at?? | 🫲🤨🫱
Pointing and Laughing | 🫵🤣
Laughing at Yourself,Mirror | 🫵🪞🤣
Running Away,Smoke Cloud | 🏃💨
Wake Up,Bed,Fencing,Get Up | 🛌🤺
Otter Fishing | 🦦🎣
Howdy,Cowboy,Hi,Hey,Hello | 🤠👋
Nerd,Actually,Umm | ☝️🤓
Mic Drop,Microphone,Roasted | 🫳🎤
You Rock | 🫵🪨
Bruh,Eyes,Mouth,Face | 👁👄👁
Taking off Sunglasses,Smirk,Sunglasses | 😏🕶🤏
Hedgehog Stargazing,Telescope | 🔭🦔
Caught Red Handed,Lying,Wasn't me | ✋🤥🤚
Running Into a Hole,Goodbye,See ya | 🕳🏃💨
Cartwheeling Into a Hole,Goodbye,See ya | 🕳🤸
You're Lying,Liar,Lion | 🫵🦁
Slow Blink,Neutral,Unamused,Unfunny | 😐😑😐
Rock n' Roll,Metal,Fire,Rock | 🤘😝🤘
Reluctant Acceptance,Fine,I guess,Pensive | 😔👍
Shaved Eyebrows,Razor | 😧🪒😦
Elephant Pooping,Toilet | 🐘🚽
Lost Hat,Roller coaster,Cowboy | 🎢 🤠🙃😃
Skunk on the Phone | 📞🦨
Date,Wine,Snail,Caterpillar | 🐌 🥂 🐛
Cool Beans,Awesome,Sunglasses | 😎🫘
Gorilla Running Away,Farting | 🦍💨
Good Job,Happy,Good for you | 🫵😊👍
Woah,Shocked,Wild,Insane | 😳🕶🤏
You're a Baby | 🫵👶
Dinosaur Playing the Saxophone,Jazz | 🎶🎷🦕
Caterpillar Playing the Saxophone,Jazz | 🎷🐛
What's Up,Cool,Sunglasses | 👈😎👈
